微博id,微博正文,发布时间,点赞数,转发数,评论数
NoLZV4AJz,常常有网友问我事业小成赚了点钱以后，生活有没有什么比较大的变化，我说几点幸福感提升比较明显的地方跟大家分享一下。首先就是午饭可以在家里吃，很多网友看我经常在微博分享创意菜非凡大师刘欣做的午饭，以为我是在无声抗拒和嫌弃，其实在我心里，能在家里吃刘欣做的午饭是一天中最幸福的事，而我足足用了7年才争取到这种生活。在一线城市打拼的朋友应该都能体会，上班有上班的忙，创业有创业的忙，每天早餐能在家里煮个鸡蛋吃都是很奢侈的事了，午饭基本上都是吃外卖。我早期创业开店，跑业务，后来做批发拿货，再到后面做自媒体经常出差跑会，很少有机会在家里好好吃一顿自己做的午饭。三年前，也就是创业大概七年以后，我感觉公司分工比较合理了，工作时间也能够比较自由地安排了，不必要的出差也能不去了，才慢慢实现了每天中午在家吃刘欣做的午饭的生活。这里面其实有两个难点，一个是你自己，另外一个是你的另一半，都有时间都不用奔波，这个在竞争激烈的一线城市，其实是很难的。在家吃刘欣做的午饭，是我这两三年常常能感觉自己幸福的重要变化。第二个提升幸福感的变化就是当亲人生病需要用钱的时候，你只会心疼亲人，而不会心疼钱。我妈妈前不久跟我说，她的牙齿不行了，要换好多颗牙，问了一下全换需要4，5万。她想先换两颗，不影响吃饭就可以，我的想法是一次性都安排了，不要因为牙齿问题影响生活长期受罪。在这个过程中，我真的一点也不会心疼钱，我担心的都是手术过程会不会痛苦，哪家医院更好一些，能不能尽快治疗好。回想起小时候家里穷的时候，家里人生个病考虑的都是怎么样少花钱，而不是怎么样效果最好，痛苦最少，你要是问我，赚钱有什么好处，这就是好处，你不用在金钱和家人的健康问题上纠结和为难。我认为在这件事上，只要去考虑或者纠结了，都是对亲情的一种“亵渎”。幸好，赚钱以后能很大程度上解决这个问题。然后再提个事业上提升带来的幸福感，从2018年做自媒体稍有起色开始，我大大小小的活动参加了几百次应该是有的，我们行业内俗称跑会。实话实话，在一开始的时候要做到不卑不亢，各方面表现得体又让自己舒服其实挺难的，我也是这两年才慢慢适应这种状态并且乐在其中。我分析其中最大的原因，应该是我变得自信了，变得自信的原因可能是我的节目越做越好了，可能是来了活动现场对接的公关小姐姐签到的时候能很快找到我的名字，可能是有些活动我没时间参加了，品牌方会跟我说那争取下次再邀请杰灵老师来现场，可能是当我提出想带刘欣陪我参加活动的时候，品牌方不会以名额有限拒绝，而是跟我说，那太好了，还有什么需求你跟我说。我的幸福感来源于，我可以选择不是一个人出差了，我可以带上刘欣，她可以和我一样在活动上开心地玩耍。比如这一次新岚图梦想家在云南的试驾活动，我开着这辆豪华舒适的MPV，带着她跑在七彩的云南上，一路上和同车虽然是第一次见面但却分外熟络的@学生华东 @安意呀 欢声笑语，没有孤独，没有不自在，拍了很多靓照，留下了美好的回忆，我觉得这也是幸福的变化。感谢岚图。 http://t.cn/A6Ia1WA6 显示地图 [组图共9张] 原图 ,2023-10-20 22:20,3167,211,577
NoLc62oYE,#趣看发布会#  OPPO首款大折叠，售价9999起你觉得值吗？ 李杰灵的微博视频  抽奖详情  ,2023-10-20 20:17,432,759,175
NoKjc0w15,摄影作品：《女生拍照》 昆明·抚仙湖  显示地图 原图 ,2023-10-20 18:02,377,20,100
NoIYV6O2w,很多网友说我越看越耐看，我觉得有道理，就和这红砖房一样，第一眼古怪，第二眼全是质感。 红河·红河“东风韵”小镇  显示地图 [组图共9张] 原图 ,2023-10-20 14:39,341,7,139
NoHL9bJww,巨物冲击，新岚图梦想家和电力风车扇叶合影，真的好大！ 昆明·石林  显示地图 [组图共6张] 原图 ,2023-10-20 11:33,165,0,57
NoBTE15oB,小伙子你开的什么车啊？三轮车啊。 玉溪  显示地图 [组图共9张] 原图 ,2023-10-19 20:37,642,7,176
NoB3QdgOs,酒店玻璃上写的19：20有两层意思，一层是他们这里19：20日落，另外一层是一九二零谐音「依旧爱你」的意思，很浪漫。我刚说给小刘听，她像看天才一样看着我，眼里全是仰慕，说我怎么这么厉害，什么都知道。我没告诉她办入住的时候我偷偷问的服务员。 昆明  显示地图 [组图共4张] 原图 ,2023-10-19 18:30,607,9,153
NoAvUABLS,带小刘来云南试驾新岚图梦想家MPV，满脸写着都是高兴。 昆明  显示地图 [组图共9张] 原图 ,2023-10-19 17:06,705,3,236
NozSLvSOB,#趣体验# 从来没想过，「多任务管理」竟然还能这么做！#OPPO Find N3发布会# 李杰灵的微博视频  ,2023-10-19 15:30,3817,2088,708
NosSsuhA2,今年荣耀在折叠屏上可以说势头很猛，3个月连发3款不说，每一部都给消费者带来了不一样的惊喜。荣耀Magic Vs2 6999的价格入手不亏，想体验折叠屏的朋友们可以冲一波。#孙艺洲用折叠屏看剧本#  [组图共6张] 原图 ,2023-10-18 21:40,73,2,16
