微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
NgYjX8s4d,32Mp IMX709这颗2X人像镜头调得不错，明年Ace也能用上，骁龙8G2 ISP也够用，希望不要阉割算法，中端机是时候来一波影像小越级了  原图 ,,https://wx2.sinaimg.cn/large/006BlblIly1hhes0nwx63j33344mokjm.jpg,无,无,2023-08-30 09:59,无,781,6,221
NgXRZEaIw,骁龙8G3新机都有计划提前发布，或许明年Q1就能看到OVMH四家影像旗舰的大混战，非常激烈  ,,无,无,无,2023-08-30 13:51,无,3281,20,619
NgXsiuqs2,华为Mate60 Pro拆机可以看到散热堆得很猛，大面积VC+氧化石墨烯散热材料，强压麒麟5G。包括之前一堆预备案的5G产品，看起来就是全面回归  [组图共3张] 原图 ,,"http://ww4.sinaimg.cn/large/006BlblIly1hhehuofisfj31z414014i.jpg,http://ww4.sinaimg.cn/large/006BlblIly1hhehuoqsvuj313z0uh7ev.jpg,http://ww4.sinaimg.cn/large/006BlblIly1hheo8x0hqzj313y15yx3t.jpg",无,无,2023-08-30 12:48,无,6969,38,904
NgX08EZMD,早  ,,无,无,无,2023-08-30 11:38,无,3024,16,741
NgWCK2Cdf,华为Mate60，12GB+512GB定价5999:  [组图共5张] 原图 ,,"http://ww2.sinaimg.cn/large/006BlblIly1hhek3y276kj30m80m848a.jpg,http://ww4.sinaimg.cn/large/006BlblIly1hhek3yu8uaj30m80m8tir.jpg,http://ww4.sinaimg.cn/large/006BlblIly1hhek403f5hj30m80m8gt1.jpg,http://ww3.sinaimg.cn/large/006BlblIly1hhek40y35rj30m80m8won.jpg,http://ww1.sinaimg.cn/large/006BlblIly1hheklxt194j314s11p109.jpg",无,无,2023-08-30 10:41,无,8420,85,1848
NgW9nuOyQ,加加12和加加Ace3摸了一下，前者准旗舰级别不说了，样机很初期，相机都打不开，潜望三摄都试不了。Ace3纸面参数看起来相较于Ace2 Pro有升有降，其实是更强，还有些旗舰级参数下放  ,,无,无,无,2023-08-30 09:28,无,2959,16,551
NgVRTDXGr,华为Mate60只是一个开始，麒麟9旗舰平板√  ,,无,无,无,2023-08-30 08:45,无,15596,94,1955
NgSFdsjLw,iPhone 15系列发布会定档北京时间9月13日凌晨1点，到时候看看去年9月的猜测能不能奶上，9月机圈的热度注定属于华子和果子  原图 ,,https://wx3.sinaimg.cn/large/006BlblIly1hhe338ecaoj313z0hen35.jpg,无,无,2023-08-30 00:36,无,8585,42,876
NgRk6rCgA,明年战场更激烈，不止一家自研系统+自研芯片  ,,无,无,无,2023-08-29 21:11,无,18388,151,2615
NgQHijuUl,华为Mate60标准版参数，2.5D直屏:  [组图共2张] 原图 ,,"http://ww1.sinaimg.cn/large/006BlblIly1hhduc0dep1j313x0vagup.jpg,http://ww3.sinaimg.cn/large/006BlblIly1hhdufy8ls7j313z0gpn2x.jpg",无,无,2023-08-29 19:36,无,13256,102,1546
NgPNO82D7,这个接近直屏的2.7D微曲屏，某不可说骁龙8G3大杯新旗舰也会用，那么大概率就是图二的状态(R角再调整一下，中框换成直角  原图 ,,https://wx4.sinaimg.cn/large/006BlblIly1hhdin1qk03j313y0ow0vb.jpg,无,无,2023-08-29 17:19,无,5340,47,707
NgP34iWLO,Find N3 Flip，这价格怎么样？  原图 ,,https://wx3.sinaimg.cn/large/006BlblIly1hhdn5yc7w0j330m29hkjl.jpg,无,无,2023-08-29 15:24,无,15085,42,1418
NgOwejcEX,华为Mate60系列的麒麟芯片基本确定了，第三方软件识别是1+3+4，识别码Cortex-A78(AE？)+？+A510+Maleoon 910 GPU，参数存疑。反正开始设计性能属于次旗舰，命名是很旗舰的麒麟9。另外，线下渠道说开售时间是9.10，正面硬刚苹果！  [组图共2张] 原图 ,,"http://ww2.sinaimg.cn/large/006BlblIly1hhdkls1um4j313y171anc.jpg,http://ww2.sinaimg.cn/large/006BlblIly1hhdksv8c43j313y0grq8k.jpg",无,无,2023-08-29 14:03,无,25820,312,3090
NgOjA44fk,"华为Mate60 Pro，处理器分析与猜想:Mate60 Pro基带版本:21C50B717S000C000/21C50B717S000C000，和麒麟芯片的命名规则一致。下面是参考数据:●Mate50 骁龙8+基带版本:27970/27970●Mate40 麒麟9000基带版本:21C20B687S000C000,21C20B687S000C000●Mate30 麒麟990基带版本:21C9383875000C000/21C9...全文 ",,无,无,无,2023-08-29 13:32,无,27364,2011,3113
NgNRFjTWa,"华为Mate60 Pro详细参数:6.82""2720*1260p OLED 1440Hz PWM，前置13Mp+3D人脸识别，后置50Mp OIS f/1.4-f/4.0可变光圈主摄+12Mp超广角+48Mp OIS f/3.0 90mm长焦微距，5000mAh+88W+50W，USB 3.1+IP68，支持卫星通话，第二代昆仑玻璃，163.65*79*8.1mm，225g  ",,无,无,无,2023-08-29 12:23,无,11433,95,2050
NgNNwe9Wc,华为Mate60 Pro，官方渲染图:  [组图共4张] 原图 ,,"http://ww2.sinaimg.cn/large/006BlblIly1hhdhn3d35kj30m80m8gy6.jpg,http://ww4.sinaimg.cn/large/006BlblIly1hhdhn3vratj30m80m8k0i.jpg,http://ww2.sinaimg.cn/large/006BlblIly1hhdhn4djmpj30m80m8n96.jpg,http://ww2.sinaimg.cn/large/006BlblIly1hhdhn4skitj30m80m8wqf.jpg",无,无,2023-08-29 12:13,无,6315,120,1360
NgNyci9wL,裤裤的潜望镜方案也有测试OV64B 64Mp，如果大杯能搞个OV50H+OV64B+V3，那就好了(开始做梦  ,,无,无,无,2023-08-29 11:35,无,1987,10,412
NgMZAsuan,阿粮迭代系列看到几个新电池和快充方案，单芯多极耳电池容量有4600mAh±、4860mAh±、5000mAh±，快充方案有90W/120W+50W~  ,,无,无,无,2023-08-29 10:10,无,4088,23,795
NgMy8jQiX,IMX989 OIS f/1.75大光圈 新一代G+P玻塑混合镜头+蔡司T*光学镀膜，如此豪华主摄大杯超大杯都有我说的是已经发布的X90 Pro和X90 Pro+  ,,无,无,无,2023-08-29 09:02,无,3585,24,640
NgHaq10hX,努比亚一英寸工程机，首个IMX989 35mm，听闻内部在优化体积后有落地计划，不过会晚一点  原图 ,,https://wx1.sinaimg.cn/large/006BlblIly1hhcjmmkjooj34mo3344qu.jpg,无,无,2023-08-28 19:20,无,5452,89,890
NgGzLn4av,真我GT5 3万台尝鲜购已售罄，这个数据挺不错，有破记录。另外realme这次起步价卡2999，更多是为了稳住旗舰定位。另外，收到一些消息跟我推测的一致，这次售罄的里面出货大头24GB顶配版，占比到了一半。果然，3799元定价还是很有竞争力的。总的来说，这个定价策略更利于品牌的良性发展，也方便后续推更高端的产品                  原图                             ,,https://wx1.sinaimg.cn/large/006BlblIly1hhclre8r6gj30u00wrtcq.jpg,无,无,2023-08-28 17:50,无,4236,25,700
