微博id,微博正文,发布时间,点赞数,转发数,评论数
OcpF3BO54,你的手机搭配用什么耳机？ 手机用什么耳机？  ,2024-05-02 14:09,237,3,4
Ocpoqo5UI,高通发布第二财季财报：截止2024年3月24日，高通季度收入93.89亿美元(约合人民币680亿元)，同比增长1％，净利润23.26亿美元(约合人民币168.5亿元)，同比增长37％高通称中国手机市场正在复苏，上半财年向中国手机制造商的销售额增长了40％，中国消费者也在对集成AI功能的手机兴趣浓厚联发科和高通的业绩都在增长了，主要还是手机消费需求在上升 原图 ,2024-05-02 13:28,139,6,26
OcoKbnLsG,小米14Ultra、华为Pura70ultra、vivo X100Pro和OPPO FindX7Ultra相机对比，在你心中哪家强呢？#新机来了# 数码疯报的微博视频  ,2024-05-02 11:49,106,85,118
OcoJkdDvX,小米14Ultra、华为Pura70ultra、vivo X100Pro和OPPO FindX7Ultra相机对比，在你心中哪家强呢？ 深圳 数码疯报的微博视频  显示地图 ,2024-05-02 11:47,6,1,4
OciOZcJiM,比亚迪4月成绩，销售313245辆新能源车，同比增长48.96%！[我走了]王朝+海洋品牌：297864辆腾势：11122辆仰望：952辆方程豹汽车：2110辆乘用车出口：41011辆  [组图共2张] 原图 ,2024-05-01 20:44,188,8,38
OchrCbylI,#新能源汽车能穿越塔漠N39线么#豹5做到了！#豹5穿越塔漠N39创世界纪录# 数码疯报的微博视频  ,2024-05-01 17:14,196,13,76
Ocg9cDVPr,4月中国乘用车市场销量第一品牌是比亚迪，月销21.59万辆；其次是大众的12.01万辆，丰田的9.3万辆4月中国乘用车市场新能源品牌销量第一是比亚迪，月销21.59万辆，其次是五菱汽车的2.84万辆，特斯拉的2.81万辆华为鸿蒙智行销量增长真快，进入新能源品牌销量top5了  [组图共2张] 原图 ,2024-05-01 13:56,214,9,31
OcfYe959C,极氪4月交付16089台，同比增长99%极氪1-4月交付49148台，同比增长111%极氪累计交付超24万台，电池「零自燃」卖的不错  原图 ,2024-05-01 13:29,145,3,26
OcfSn0Fhb,vivo X100 Ultra，vivo X100s1TB卫星通讯版价格会不会突破8000元呢？  原图 ,2024-05-01 13:14,217,4,35
Oc9Prnf05,今年1月1日-4月28日，20万以上纯电汽车市场品牌销量TOP10，特斯拉以16.09万辆排名第一，其次是极氪（4.56万辆），蔚来（4.36万辆）小米以7200辆销量排名第9  原图 ,2024-04-30 21:51,195,7,37
Oc7PdfwpD,除了魅族21，魅族21 PRO也开启了618  [组图共2张] 原图 ,2024-04-30 16:45,198,2,33
Oc7F77QbQ,如果手机号用了好几年，大家还是不要轻易换手机号，自己可能会忘了不知道注册过什么app，你注销过的手机号不会永久消失，可能还会被人买过去用的。别人用你注销过的手机号，然后登录了你用的某个app，你一点办法都没有别不信这种事不会发生，刚发生在我身上  ,2024-04-30 16:20,179,8,44
Oc5x8itKn,#手机系统广告谁更多# 系统自带广告的话，苹果iOS是最少的，iOS系统自带广告在App Store，也就去下载app，更新app，查找新app这些时候去看App Store，其他系统应用没看到广告，日常使用没有广告带来的影响，一般都可以手动关闭，也不在意这些广告不广告的。你的手机系统应用，广告多不多？  [组图共2张] 原图 ,2024-04-30 10:54,142,3,37
Oc5bhvPGp,华为与苹果同日举办新品发布会看了下，华为发布会是在迪拜开的，不是在咱们国内的。估计5月中国内还会有发布会，发布的产品有WATCH FIT 3，渲染图已经曝光了，大家可以先看看  [组图共6张] 原图 ,2024-04-30 10:01,147,3,33
Oc51DEwB3,1-3月广东人最爱买的5个汽车品牌：比亚迪，丰田，本田，日产，埃安1-3月广东人最爱买的5个汽车型号：轩逸，特斯拉Model Y，埃安S，问界M7，比亚迪宋PLUS毕竟比亚迪总部在深圳，华为总部在深圳，广州还有广汽本田，广汽丰田，广汽埃安，东风日产。  [组图共2张] 原图 ,2024-04-30 09:37,136,4,21
Oc4OoxxCH,三星电子一季度财报发布：销售额71.92万亿韩元（约合人民币3783亿元），同比增长12.82%；净利润为6.62万亿韩元（约合人民币348.21亿元），同比增长931.87%。粗略计算，过去的1-3月，三星电子平均每天净赚3.83亿元人民币[上课了]  原图 ,2024-04-30 09:04,144,5,27
Oc4vd1neu,赛力斯发布2024年一季度报告，营收265.61亿元，同比增长421.76%；净利润2.20亿元，毛利率提升至21.5%赛力斯新能源汽车销量达114138辆，同比增长172.16%。其中，由赛力斯与华为联合设计的AITO问界系列汽车，销量持续上升造车普遍挺亏钱的，赛力斯开始赚钱了！  [组图共2张] 原图 ,2024-04-30 08:17,156,6,25
