微博id,微博正文,发布时间,点赞数,转发数,评论数
NhaQceFiY,#华为Mate60Pro+#  Mate60标准版和Mate60Pro都是毫无预兆的开售，那么Mate60Pro+有没有可能这两天官网搞突袭？  [组图共2张] 原图 ,2023-08-31 17:52,107,1,32
Nh9xfvSbk,iQOO Z8：天玑8200，LCD，6400W+OIS主摄，5000mAh+120W，8+256GB 1599元，12+256GB 1799元，12+512GB 1999元；iQOO Z8X：骁龙6Gen1，LCD，5000W主摄，6000mAh+44W，8+12GB 1199元，8+256GB 1299元，12+256GB 1499元；  [组图共2张] 原图 ,2023-08-31 19:33,206,6,95
Nh9g62qEH,Mate60Pro更新了，优化性能和稳定性，优化相机稳定性，提升拍摄效果  原图 ,2023-08-31 18:51,681,1,172
Nh9eT0fTr,[送花花]视频来啦~  原图 ,2023-08-31 18:48,447,5,98
Nh8lWhzpP,越用越懵逼! 么？红米K60至尊版 全面评测：对比Ace2、Neo8Pro 大米评测的微博视频  ,2023-08-31 16:32,434,571,173
Nh8l6dRTN,Mate60Pro视频，今晚见~  ,2023-08-31 16:30,623,1,137
Nh84QCeeq,话说OPPO，现在大家习惯叫绿厂还是黑厂？  ,2023-08-31 15:50,829,1,190
Nh83778Mv,华子这波是真的猛，前几天大家还激烈在讨论一加Ace2Pro和K60至尊版，Mate60系列一来，连这两台热门线上机的声音都没了，更不用说Realme的GT5、OPPO的新折叠。。。  ,2023-08-31 15:46,2636,16,327
Nh7e1l05j,华为商城目前在APP Store免费软件里排名第五，啥叫真正的国际大厂啊～ #华为商城App登顶苹果AppStore榜第一#  原图 ,2023-08-31 13:40,764,5,121
Nh6Otd6Rs,果子iPhone15发布时间是9月13日，凌晨1点。“史诗级”升级Type-C是没跑了，从海报来看，可能间接意味着新机的配色，黑蓝色和钛灰色~今年iPhone15系列大家最期待的升级点是啥？ #iPhone15系列爆料#  [组图共2张] 原图 ,2023-08-31 12:37,444,2,163
Nh6KxvEeH,[我来了]各种颜色版本都陆续上架啦~小米13/13Ultra定制【面条壳】：小米13：大米定制：小米13 面条壳  超薄/肤感/精致/好用 小米13Ultra：大米定制：小米13Ultra 面条壳  超薄/肤感/精致/好用呼呼，经过3个月反复打磨，小米13系列面条壳终终终于是做出来了。设计这款壳的时候，我们的主要目标是既要又要，颜值、手感在线，同时保护性也要兼顾到一些。所...全文 [组图共12张] 原图 ,2023-08-31 12:27,33,1,17
Nh6Hp6U1y,办公区楼下，同样电信5G卡，Mate60Pro能跑到530Mbps，P60Pro只能跑到117Mbps  #华为mate60#  [组图共2张] 原图 ,2023-08-31 12:20,787,6,193
Nh6s4b3GU,实测下来，Mate60Pro只要没有显示4G图标，那么当前就是5G网络状态  #华为mate60#大米评测的微博视频  ,2023-08-31 11:42,1970,61,321
Nh6eZosyf,话说Mate60系列发布会还会开么？官网直接开售后，好像到目前为止，没有其它关于发布会的预热信息来着？  ,2023-08-31 11:10,581,2,99
Nh6a0hdNg,Mate60Pro游戏性能部分目前能够横向对比参考的环节其实不多，感觉还是得等一波更新看看。比如目前原神会贴图错误，星铁星槎海中枢跑图也贴图错误，王者荣耀最高只有60帧，另外很多测试软件其实测不到麒麟9000S的那颗高频大核频率，软件能够读到的基本只有2.15GHz频率的大核。  ,2023-08-31 10:57,1670,7,384
Nh5F06KeC,今天开足马力，争取把Mate60Pro的体验视频做出来~  ,2023-08-31 09:41,1780,0,265
Nh5pPbv4P,Mate60Pro绿色甄姬实拍，大家更喜欢白色还是绿色？  #华为mate60#  [组图共8张] 原图 ,2023-08-31 09:04,693,8,273
Nh53LnE3D,早呀，Mate60Pro白色甄姬实拍，外观10分能打几分  #华为mate60#  [组图共8张] 原图 ,2023-08-31 08:09,1350,24,469
NgPt7aQJh,刷首页好像Mate60Pro线下开售就深圳有？官网抢了一台绿色，不过看实拍图，感觉还是白色好看，比较期待这次麒麟9000S的表现，坐等官网发货了~  原图 ,2023-08-29 16:28,1285,5,330
NgP4cy2f2,OPPO Find N3 Flip：12+256G 6799元，12+512G 7599元    ~感觉华子上线Mate60Pro后，今天这机子毫无热度。  原图 ,2023-08-29 15:26,1157,2,154
NgP3rz22M,OPPO Watch 4 Pro 2299，2499元，大家觉得怎么样？买不买？  原图 ,2023-08-29 15:25,762,3,159
NgOOhDB5V,话说竖折的外屏应该没多少人真正会去日常交互使用吧？更多的是看一些简单的信息预览~  [组图共2张] 原图 ,2023-08-29 14:47,279,4,60
NgOyuEzyN,今天还有其他手机发布会？？？  ,2023-08-29 14:08,1934,6,136
NgNSLzjqw,#华为Mate60#  Mate60Pro官方配置信息：麒麟9000S处理器，6.82英寸，2720*1260，1440Hz高频PWM调光，昆仑玻璃。前置3D人脸识别+屏下指纹，三颗摄像头，内存12GB，5000W主摄 F1.4-4.0可变光圈，4800W长焦（3.5X支持微距），1200W像素超广角，双频GPS，四频北斗。5000mAh电池+88W快充+50W无线。79mm...全文 [组图共9张] 原图 ,2023-08-29 12:26,11951,251,840
NgNR18MkM,#华为Mate60# Mate60Pro 目前开售的总共四个颜色：黑色、绿色、白色、紫色  [组图共4张] 原图 ,2023-08-29 12:21,289,7,100
NgNP95wjy,#华为Mate60# 华为Mate60Pro官网直接开售了...外观确认是昨天曝光的样子，正面是三颗摄像头  [组图共4张] 原图 ,2023-08-29 12:17,748,19,170
NgGKy429b,大A今天这属于是高开低走了  原图 ,2023-08-28 18:16,442,3,83
NgG06sx6A,目前2500-3000档位这几款机子，大家会选哪个？iQOO Neo8Pro、K60至尊版、一加Ace2Pro、真我GT5~ 目前2500-3000档位这几款机子，大家会选哪个？  ,2023-08-28 16:22,9241,11,208
NgFZqfwDz,等等，这茶饮竟然是小米生态链的  原图 ,2023-08-28 16:20,1179,9,136
NgFYM4p8b,据说小鹏G9改款加了双风冷无线，去掉了中台部分的钢琴烤漆，新增白色内饰，确实是把G9之前内饰的一些主要槽点改了。话说老G9用户能付费+双风冷无线么？原来那个不仅充电热，而且类皮材质很容易吸灰变脏。  [组图共2张] 原图 ,2023-08-28 16:18,124,2,31
NgFD74NZC,真我 GT5 8Gen2，150W版本12+256GB 2999元，16+512GB 3299元，240W版本24+1TB 3799元，大家觉得怎么样？买不买？  [组图共3张] 原图 ,2023-08-28 15:25,1654,19,198
NgFBPzkSa,第二代骁龙8标杆产品是：？  原图 ,2023-08-28 15:22,1166,14,135
NgFzDDKho,三频GPS，四频北斗  原图 ,2023-08-28 15:16,99,2,24
NgFwVd1dh,240W+4600mAh，150W+5240mAh，那肯定选后者啊  原图 ,2023-08-28 15:10,285,3,71
NgFwCAXJy,150W+5240mAh  原图 ,2023-08-28 15:09,95,0,32
NgFvWkEce,SuperVooc S 99.5%的放电效率  [组图共2张] 原图 ,2023-08-28 15:07,70,1,23
NgFuL2L4x,对于手机游戏插帧依然无感  原图 ,2023-08-28 15:04,99,0,37
NgFrCjZyr,游戏专属内存，可以添加6款任意游戏，支持后台挂机  原图 ,2023-08-28 14:57,107,1,29
NgFr67zoi,24GB+1TB  [组图共2张] 原图 ,2023-08-28 14:55,50,1,18
NgFqxuNDa,一加说：我普及大内存真我说：我普及大内存  原图 ,2023-08-28 14:54,235,2,45
NgFpRyjvs,燃模式，连上散热背夹，CPU频率直接拉满  原图 ,2023-08-28 14:52,56,0,19
NgFoK84di,CPU 极客性能面板~开放CPU频率调整，不过参考之前的魅族18系列，应该没有开放温控限制  原图 ,2023-08-28 14:50,88,1,20
NgFo2nXMn,友商是：？  原图 ,2023-08-28 14:48,198,1,54
NgFnx6YWH,8Gen2  原图 ,2023-08-28 14:47,65,2,12
NgFmwr4VQ,超窄边框直屏，没有大塑料支架 估计iQOO下一代也要去掉塑料支架了吧~  原图 ,2023-08-28 14:44,171,0,27
NgFmcATe4,背面的灯基本还是装饰效果，日常使用实用性其实很低  原图 ,2023-08-28 14:43,76,0,22
NgFlrnBPE,4条灯带  原图 ,2023-08-28 14:41,60,1,22
NgFkD7uzw,星雾绿洲  原图 ,2023-08-28 14:39,22,0,5
NgFjryRFg,流银幻境，美不美，打几分？  原图 ,2023-08-28 14:37,81,0,41
NgFi9ubrN,不可思议的曲面？  原图 ,2023-08-28 14:33,191,1,41
NgFhmq2pB,猜一个Realme GT5的售价？  原图 ,2023-08-28 14:31,177,0,136
NgFfBlDqv,最近疯狂进货各种茶饮，平仄乌龙茶大家喝过吗？  原图 ,2023-08-28 14:27,101,0,36
NgE9RgrP2,[我来了]各种颜色版本都陆续上架啦~小米13/13Ultra定制【面条壳】：小米13：大米定制：小米13 面条壳  超薄/肤感/精致/好用 小米13Ultra：大米定制：小米13Ultra 面条壳  超薄/肤感/精致/好用呼呼，经过3个月反复打磨，小米13系列面条壳终终终于是做出来了。设计这款壳的时候，我们的主要目标是既要又要，颜值、手感在线，同时保护性也要兼顾到一些。所...全文 [组图共12张] 原图 ,2023-08-28 11:40,40,0,33
NgDJljjAv,网传的最新华为Mate60外观，和之前爆料吻合。浅色版本下半部分有一个圆形拼接设计，星环摄像头回归，不过比Mate40Pro那会更大了，有点和今年荣耀X50的模组类似。  [组图共3张] 原图 ,2023-08-28 10:35,651,9,174
NgxIX9L2Q,K60至尊版视频发啦  原图 ,2023-08-27 19:17,899,6,232
NgwHhpqZB,最近工作室的饮料都变成东方树叶了。。。  原图 ,2023-08-27 16:41,482,3,162
Ngwt0yiNE,据说iPhone15Pro系列开始减重了14Pro 206g，15Pro 191g14Pro Max 240g，15Pro Max 221g加上15系列中框部分更加圆润，Pro Max机型的手感应该会有很大改进。  [组图共2张] 原图 ,2023-08-27 16:05,310,9,108
NguFgAKNx,[我来了]各种颜色版本都陆续上架啦~小米13/13Ultra定制【面条壳】：小米13：大米定制：小米13 面条壳  超薄/肤感/精致/好用 小米13Ultra：大米定制：小米13Ultra 面条壳  超薄/肤感/精致/好用呼呼，经过3个月反复打磨，小米13系列面条壳终终终于是做出来了。设计这款壳的时候，我们的主要目标是既要又要，颜值、手感在线，同时保护性也要兼顾到一些。所...全文 [组图共12张] 原图 ,2023-08-27 11:30,42,0,27
Ngmhv545P,翻译翻译，什么叫商务水桶机？ThinkBook14+ 2023 锐龙版 体验&拆解 大米评测的微博视频  ,2023-08-26 14:10,439,904,206
NgkDBl6qU,【闲聊】中端机 30W无线充电  vs IP68 vs 大尺寸马达 三选一的话你会选哪个？ 中端机 30W无线充电  vs IP68 vs 大尺寸马达 三选一的话你会选哪个？  ,2023-08-26 09:59,11125,9,251
NgkC0tqno,周六早呀，今天都准备干嘛？  ,2023-08-26 09:55,233,0,77
NgdUw5emw,轻启动公众号发文，表示也中招了，后续新版本将会移除“自动跳过”相关功能。  [组图共2张] 原图 ,2023-08-25 16:51,1303,29,214
NgbOB54NW,#iPhone15Pro新增灰色# 每年iPhone Pro系列都是一个新配色+3个基础色，iPhone13Pro系列是远峰蓝，iPhone14Pro系列是黑紫，iPhone15Pro系列爆料消息是钛灰色。当然如果不追新，不知道怎么选，选iPhone的银色肯定不会出错~  原图 ,2023-08-25 11:31,524,24,88
NgbKfv7RO,40款旗舰大比拼：谁是续航王中王？为什么有些手机续航尿崩 大米评测的微博视频  抽奖详情  ,2023-08-25 11:20,607,977,253
Ng4r6s2Ms,【闲聊】大家目前对手机拍照的需求是怎么样的？ 对手机拍照的需求是怎么样的？  ,2023-08-24 16:44,9832,14,180
微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
NhaQceFiY,#华为Mate60Pro+#  Mate60标准版和Mate60Pro都是毫无预兆的开售，那么Mate60Pro+有没有可能这两天官网搞突袭？  [组图共2张] 原图 ,,"http://ww4.sinaimg.cn/large/6f91bc6fly1hhgbd7myelj20vz14uju0.jpg,http://ww2.sinaimg.cn/large/6f91bc6fly1hhgbd7kdz0j20wg152jtp.jpg",无,无,2023-08-31 17:52,微博网页版,113,1,35
Nh9xfvSbk,iQOO Z8：天玑8200，LCD，6400W+OIS主摄，5000mAh+120W，8+256GB 1599元，12+256GB 1799元，12+512GB 1999元；iQOO Z8X：骁龙6Gen1，LCD，5000W主摄，6000mAh+44W，8+12GB 1199元，8+256GB 1299元，12+256GB 1499元；  [组图共2张] 原图 ,,"http://ww1.sinaimg.cn/large/6f91bc6fly1hhg5lyw7xdj211v0k9gna.jpg,http://ww3.sinaimg.cn/large/6f91bc6fly1hhg5lyw61wj211s0keq4k.jpg",无,无,2023-08-31 19:33,微博网页版,208,6,95
Nh9g62qEH,Mate60Pro更新了，优化性能和稳定性，优化相机稳定性，提升拍摄效果  原图 ,,https://wx4.sinaimg.cn/large/6f91bc6fgy1hhg4dw59hjj20z023kjv8.jpg,无,无,2023-08-31 18:51,HUAWEI Mate 60 Pro,684,1,172
Nh9eT0fTr,[送花花]视频来啦~  原图 ,,https://wx3.sinaimg.cn/large/6f91bc6fgy1hhg4atacxzj21401wb153.jpg,无,无,2023-08-31 18:48,Ultra Max Android,448,5,98
Nh8lWhzpP,越用越懵逼! 么？红米K60至尊版 全面评测：对比Ace2、Neo8Pro 大米评测的微博视频  ,,无,"https://f.video.weibocdn.com/o0/CTIZwmbplx088esXTEKc01041202cBRr0E010.mp4?label=mp4_hd&template=960x480.25.0&Expires=1693498013&ssig=YeL1o9KMBM&KID=unistore,video",无,2023-08-31 16:32,微博视频号,435,572,173
Nh8l6dRTN,Mate60Pro视频，今晚见~  ,,无,无,无,2023-08-31 16:30,微博网页版,623,1,137
Nh84QCeeq,话说OPPO，现在大家习惯叫绿厂还是黑厂？  ,,无,无,无,2023-08-31 15:50,微博网页版,830,1,190
Nh83778Mv,华子这波是真的猛，前几天大家还激烈在讨论一加Ace2Pro和K60至尊版，Mate60系列一来，连这两台热门线上机的声音都没了，更不用说Realme的GT5、OPPO的新折叠。。。  ,,无,无,无,2023-08-31 15:46,微博网页版,2637,16,327
Nh7e1l05j,华为商城目前在APP Store免费软件里排名第五，啥叫真正的国际大厂啊～ #华为商城App登顶苹果AppStore榜第一#  原图 ,,https://wx4.sinaimg.cn/large/6f91bc6fgy1hhfvd1be7vj20wr1z0qpf.jpg,无,无,2023-08-31 13:40,iPhone 14 Pro,764,5,121
Nh6Otd6Rs,果子iPhone15发布时间是9月13日，凌晨1点。“史诗级”升级Type-C是没跑了，从海报来看，可能间接意味着新机的配色，黑蓝色和钛灰色~今年iPhone15系列大家最期待的升级点是啥？ #iPhone15系列爆料#  [组图共2张] 原图 ,,"http://ww1.sinaimg.cn/large/6f91bc6fly1hhftkk4uaqj20zv1c1gy1.jpg,http://ww3.sinaimg.cn/large/6f91bc6fly1hhftkjzkl9j210y0nzdjo.jpg",无,无,2023-08-31 12:37,微博网页版,451,2,163
Nh6KxvEeH,[我来了]各种颜色版本都陆续上架啦~小米13/13Ultra定制【面条壳】：小米13：大米定制：小米13 面条壳  超薄/肤感/精致/好用 小米13Ultra：大米定制：小米13Ultra 面条壳  超薄/肤感/精致/好用呼呼，经过3个月反复打磨，小米13系列面条壳终终终于是做出来了。设计这款壳的时候，我们的主要目标是既要又要，颜值、手感在线，同时保护性也要兼顾到一些。所...全文 [组图共12张] 原图 ,,"http://ww4.sinaimg.cn/large/6f91bc6fly1hhftb7nonxj20vi0vi1c9.jpg,http://ww4.sinaimg.cn/large/6f91bc6fly1hhftb6twxpj20m80m8ww1.jpg,http://ww3.sinaimg.cn/large/6f91bc6fly1hhftb7lrwpj20vi0vih4l.jpg,http://ww4.sinaimg.cn/large/6f91bc6fly1hhftb7uan0j20vi0vikdq.jpg,http://ww1.sinaimg.cn/large/6f91bc6fly1hhftb7ogpdj20vi0vits2.jpg,http://ww4.sinaimg.cn/large/6f91bc6fly1hhftb7tsddj20vi0vie1o.jpg,http://ww1.sinaimg.cn/large/6f91bc6fly1hhftb7pz45j20vi0vi7mt.jpg,http://ww2.sinaimg.cn/large/6f91bc6fly1hhftb6wktoj20m80m8ww1.jpg,http://ww1.sinaimg.cn/large/6f91bc6fly1hhftb7hf2lj20vi0viar9.jpg,http://ww3.sinaimg.cn/large/6f91bc6fly1hhftb7lclpj20vi0vinfp.jpg,http://ww2.sinaimg.cn/large/6f91bc6fly1hhftb7kgybj20vi0vih3n.jpg,http://ww1.sinaimg.cn/large/6f91bc6fly1hhftb7tnqhj20vi0vikby.jpg",无,无,2023-08-31 12:27,大米评测的小店,33,1,17
Nh6Hp6U1y,办公区楼下，同样电信5G卡，Mate60Pro能跑到530Mbps，P60Pro只能跑到117Mbps  #华为mate60#  [组图共2张] 原图 ,,"http://ww2.sinaimg.cn/large/6f91bc6fly1hhft2yjbffj20mz1gedkw.jpg,http://ww1.sinaimg.cn/large/6f91bc6fly1hhft2yjlvij20nv1fwgqk.jpg",无,无,2023-08-31 12:20,微博网页版,787,6,193
Nh6s4b3GU,实测下来，Mate60Pro只要没有显示4G图标，那么当前就是5G网络状态  #华为mate60#大米评测的微博视频  ,,无,"https://f.video.weibocdn.com/o0/9oKLpyILlx088erUBnwQ01041200pmVC0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1693498025&ssig=JdN3cB36id&KID=unistore,video",无,2023-08-31 11:42,微博视频号,1970,61,321
Nh6eZosyf,话说Mate60系列发布会还会开么？官网直接开售后，好像到目前为止，没有其它关于发布会的预热信息来着？  ,,无,无,无,2023-08-31 11:10,微博网页版,581,2,99
Nh6a0hdNg,Mate60Pro游戏性能部分目前能够横向对比参考的环节其实不多，感觉还是得等一波更新看看。比如目前原神会贴图错误，星铁星槎海中枢跑图也贴图错误，王者荣耀最高只有60帧，另外很多测试软件其实测不到麒麟9000S的那颗高频大核频率，软件能够读到的基本只有2.15GHz频率的大核。  ,,无,无,无,2023-08-31 10:57,微博网页版,1670,7,384
Nh5F06KeC,今天开足马力，争取把Mate60Pro的体验视频做出来~  ,,无,无,无,2023-08-31 09:41,微博网页版,1781,0,265
Nh5pPbv4P,Mate60Pro绿色甄姬实拍，大家更喜欢白色还是绿色？  #华为mate60#  [组图共8张] 原图 ,,"http://ww2.sinaimg.cn/large/6f91bc6fgy1hhfneyqdfkj22dc35su0x.jpg,http://ww1.sinaimg.cn/large/6f91bc6fgy1hhfnezyn7kj22dc35sx6p.jpg,http://ww2.sinaimg.cn/large/6f91bc6fgy1hhfnf28b23j22dc35s7wi.jpg,http://ww4.sinaimg.cn/large/6f91bc6fgy1hhfnf3i01hj22dc35sx6p.jpg,http://ww1.sinaimg.cn/large/6f91bc6fgy1hhfnf4jrr3j22dc35snpd.jpg,http://ww4.sinaimg.cn/large/6f91bc6fgy1hhfnf5mcsgj22dc35snpd.jpg,http://ww3.sinaimg.cn/large/6f91bc6fgy1hhfnf6lnc2j22dc35skjl.jpg,http://ww2.sinaimg.cn/large/6f91bc6fgy1hhfnf88dlej22dc35s1ky.jpg",无,无,2023-08-31 09:04,Ultra Max Android,693,8,273
Nh53LnE3D,早呀，Mate60Pro白色甄姬实拍，外观10分能打几分  #华为mate60#  [组图共8张] 原图 ,,"http://ww4.sinaimg.cn/large/6f91bc6fgy1hhflufpcn7j22dc35su0x.jpg,http://ww4.sinaimg.cn/large/6f91bc6fgy1hhflugp0f2j22dc35sqv5.jpg,http://ww2.sinaimg.cn/large/6f91bc6fgy1hhfluhsjyaj22dc35s7wi.jpg,http://ww2.sinaimg.cn/large/6f91bc6fgy1hhfluj82kxj22dc35skjl.jpg,http://ww1.sinaimg.cn/large/6f91bc6fgy1hhfluk81npj22dc35snpd.jpg,http://ww4.sinaimg.cn/large/6f91bc6fgy1hhflulx07uj22dc35snpd.jpg,http://ww4.sinaimg.cn/large/6f91bc6fgy1hhflumxl1yj22dc35sqv5.jpg,http://ww2.sinaimg.cn/large/6f91bc6fgy1hhflunxpcwj22dc35snpd.jpg",无,无,2023-08-31 08:09,Ultra Max Android,1350,24,469
NgPt7aQJh,刷首页好像Mate60Pro线下开售就深圳有？官网抢了一台绿色，不过看实拍图，感觉还是白色好看，比较期待这次麒麟9000S的表现，坐等官网发货了~  原图 ,,https://wx3.sinaimg.cn/large/6f91bc6fgy1hhdp026hj8j20vd0u0wgm.jpg,无,无,2023-08-29 16:28,Ultra Max Android,1285,5,330
NgP4cy2f2,OPPO Find N3 Flip：12+256G 6799元，12+512G 7599元    ~感觉华子上线Mate60Pro后，今天这机子毫无热度。  原图 ,,https://wx3.sinaimg.cn/large/6f91bc6fgy1hhdn85kba6j21400naabe.jpg,无,无,2023-08-29 15:26,Ultra Max Android,1157,2,154
NgP3rz22M,OPPO Watch 4 Pro 2299，2499元，大家觉得怎么样？买不买？  原图 ,,https://wx3.sinaimg.cn/large/6f91bc6fgy1hhdn6x57wmj21400nmjt8.jpg,无,无,2023-08-29 15:25,Ultra Max Android,762,3,159
NgOOhDB5V,话说竖折的外屏应该没多少人真正会去日常交互使用吧？更多的是看一些简单的信息预览~  [组图共2张] 原图 ,,"http://ww3.sinaimg.cn/large/6f91bc6fgy1hhdm3xac4aj21u00u00vi.jpg,http://ww4.sinaimg.cn/large/6f91bc6fgy1hhdm3xpuzqj21400kfmyv.jpg",无,无,2023-08-29 14:47,Ultra Max Android,279,4,60
NgOyuEzyN,今天还有其他手机发布会？？？  ,,无,无,无,2023-08-29 14:08,Ultra Max Android,1934,6,136
NgNSLzjqw,#华为Mate60#  Mate60Pro官方配置信息：麒麟9000S处理器，6.82英寸，2720*1260，1440Hz高频PWM调光，昆仑玻璃。前置3D人脸识别+屏下指纹，三颗摄像头，内存12GB，5000W主摄 F1.4-4.0可变光圈，4800W长焦（3.5X支持微距），1200W像素超广角，双频GPS，四频北斗。5000mAh电池+88W快充+50W无线。79mm...全文 [组图共9张] 原图 ,,"http://ww2.sinaimg.cn/large/6f91bc6fly1hhdhzkt4w1j20ja0l3tbk.jpg,http://ww2.sinaimg.cn/large/6f91bc6fly1hhdhzl0485j20xt0ykqcb.jpg,http://ww2.sinaimg.cn/large/6f91bc6fly1hhdhzl1nwnj21mh152k2q.jpg,http://ww2.sinaimg.cn/large/6f91bc6fly1hhdhzl1c46j21kv15ddt3.jpg,http://ww3.sinaimg.cn/large/6f91bc6fly1hhdhzkzyv0j20x70xrtj7.jpg,http://ww1.sinaimg.cn/large/6f91bc6fly1hhdhzl6zctj21np160wy0.jpg,http://ww1.sinaimg.cn/large/6f91bc6fly1hhdhzkzkh0j21lj1aagts.jpg,http://ww4.sinaimg.cn/large/6f91bc6fly1hhdhzkw3vbj21m20zxagc.jpg,http://ww3.sinaimg.cn/large/6f91bc6fly1hhdhzswcdhj21mh1bhgqs.jpg",无,无,2023-08-29 12:26,微博网页版,11951,251,840
